start_date,lowest_price,weekday
2019-05-01 18:00:00,66.75,wednesday
2019-05-01 19:00:00,66.75,wednesday
2019-05-01 19:30:00,58.15,wednesday
2019-05-01 20:00:00,58.15,wednesday
2019-05-01 20:30:00,58.15,wednesday
2019-05-01 21:25:00,58.15,wednesday
2019-04-30 06:10:00,49.55,tuesday
2019-04-30 06:30:00,49.55,tuesday
2019-04-30 07:00:00,49.55,tuesday
2019-04-30 07:20:00,58.45,tuesday
2019-04-30 07:30:00,58.45,tuesday
2019-04-30 08:00:00,58.45,tuesday
2019-04-30 08:20:00,58.45,tuesday
2019-04-30 08:30:00,66.75,tuesday
2019-04-30 09:30:00,66.75,tuesday
2019-04-30 10:30:00,75.4,tuesday
2019-04-30 11:30:00,58.15,tuesday
2019-04-30 12:30:00,58.15,tuesday
2019-04-30 14:00:00,75.4,tuesday
2019-04-30 14:30:00,75.4,tuesday
2019-04-30 15:00:00,75.4,tuesday
2019-04-30 15:30:00,75.4,tuesday
2019-04-29 06:30:00,58.15,monday
2019-04-29 07:00:00,66.75,monday
2019-04-29 07:30:00,66.75,monday
2019-04-29 08:00:00,78.8,monday
2019-04-29 08:20:00,78.8,monday
2019-04-29 10:30:00,75.4,monday
2019-04-29 14:00:00,58.45,monday
2019-04-29 14:30:00,58.45,monday
2019-04-29 15:00:00,58.45,monday
2019-04-29 15:30:00,58.45,monday
2019-04-29 16:00:00,58.45,monday
2019-04-29 17:00:00,75.4,monday
2019-04-29 17:30:00,66.75,monday
2019-04-29 18:00:00,66.75,monday
2019-04-29 18:30:00,58.15,monday
2019-04-29 19:00:00,58.15,monday
2019-04-29 19:30:00,58.15,monday
2019-04-29 20:00:00,58.15,monday
2019-04-29 20:30:00,49.55,monday
2019-04-29 21:25:00,49.55,monday
2019-04-20 07:30:00,66.75,saturday
2019-04-20 08:30:00,66.75,saturday
2019-04-20 09:30:00,66.75,saturday
2019-04-20 12:30:00,75.4,saturday
2019-04-20 19:30:00,66.75,saturday
2019-04-19 14:30:00,66.75,friday
2019-04-19 16:30:00,66.75,friday
2019-04-19 19:00:00,75.4,friday
2019-04-19 19:30:00,75.4,friday
2019-04-19 21:25:00,40.95,friday
2019-04-24 07:20:00,58.15,wednesday
2019-04-24 08:00:00,66.75,wednesday
2019-04-24 14:00:00,68.65,wednesday
2019-04-24 15:00:00,68.65,wednesday
2019-04-24 16:00:00,68.65,wednesday
2019-04-24 17:00:00,68.65,wednesday
2019-05-29 06:10:00,40.95,wednesday
2019-05-29 06:30:00,40.95,wednesday
2019-05-29 07:20:00,40.95,wednesday
2019-05-29 07:30:00,40.95,wednesday
2019-05-29 08:00:00,40.95,wednesday
2019-05-29 08:20:00,40.95,wednesday
2019-05-29 08:30:00,40.95,wednesday
2019-05-29 09:00:00,40.95,wednesday
2019-05-29 09:30:00,85.08,wednesday
